id,name,slug,department_code,insee_code,postal_code,lat,lng,pop
86,Sainte-Croix,sainte-croix-01,01,01342,01120,45.8942,5.05195,500
87,Blyes,blyes,01,01047,01150,45.85,5.25,900
88,Conzieu,conzieu,01,01117,01300,45.7333,5.6,100
89,Niévroz,nievroz,01,01276,01120,45.8333,5.06667,1500
90,Nurieux-Volognat,nurieux-volognat,01,01267,01460,46.1856,5.52667,1100
91,Ambléon,ambleon,01,01006,01300,45.75,5.6,100
92,Saint-Maurice-de-Gourdans,saint-maurice-de-gourdans,01,01378,01800,45.8167,5.2,2400
93,Chézery-Forens,chezery-forens,01,01104,01200,46.2167,5.88333,400
94,Sault-Brénaz,sault-brenaz,01,01396,01150,45.85,5.41667,1100
95,Murs-et-Gélignieux,murs-et-gelignieux,01,01268,01300,45.6333,5.66667,200
96,Le Petit-Abergement,petit-abergement,01,01292,01260,46.0333,5.65,100
97,Cormoz,cormoz,01,01124,01560,46.45,5.23333,500
98,Saint-Martin-de-Bavel,saint-martin-de-bavel,01,01372,01510,45.85,5.68333,500
99,Saint-Trivier-de-Courtes,saint-trivier-de-courtes,01,01388,01560,46.4667,5.08333,1000
100,Boyeux-Saint-Jérôme,boyeux-saint-jerome,01,01056,01640,46.0333,5.46667,300
101,Château-Gaillard,chateau-gaillard,01,01089,01500,45.9667,5.3,1700
102,Prémeyzel,premeyzel,01,01310,01300,45.6833,5.65,300
103,Arandas,arandas,01,01013,01230,45.9,5.48333,200
104,Châtenay,chatenay-01,01,01090,01320,46.0333,5.2,300
105,Innimond,innimond,01,01190,01680,45.7833,5.56667,100
106,Boz,boz,01,01057,01190,46.4,4.9,500
107,Briord,briord,01,01064,01470,45.7833,5.46667,900
108,Reyrieux,reyrieux,01,01322,01600,45.9333,4.81667,4000
109,Matafelon-Granges,matafelon-granges,01,01240,01580,46.2667,5.56667,700
110,Drom,drom,01,01150,01250,46.2167,5.36667,200
111,Châtillon-en-Michaille,chatillon-en-michaille,01,01091,01200,46.1333,5.78333,3100
112,Polliat,polliat,01,01301,01310,46.25,5.13333,2400
113,Vesancy,vesancy,01,01436,01170,46.35,6.08333,500
114,Massieux,massieux,01,01238,01600,45.9167,4.83333,2400
115,Saint-Cyr-sur-Menthon,saint-cyr-sur-menthon,01,01343,01380,46.2667,4.98333,1600
116,Serrières-sur-Ain,serrieres-sur-ain,01,01404,01450,46.15,5.45,100
117,Nivollet-Montgriffon,nivollet-montgriffon,01,01277,01230,45.9833,5.43333,100
118,Izernore,izernore,01,01192,01580,46.2167,5.55,2200
119,Saint-Nizier-le-Désert,saint-nizier-le-desert,01,01381,01320,46.05,5.15,900
120,Guéreins,guereins,01,01183,01090,46.1,4.78333,1200
121,Illiat,illiat,01,01188,01140,46.1833,4.88333,500
122,La Tranclière,trancliere,01,01425,01160,46.1167,5.26667,300
123,Saint-Didier-de-Formans,saint-didier-de-formans,01,01347,01600,45.95,4.78333,1800
124,Mérignat,merignat,01,01242,01450,46.0667,5.43333,100
125,Saint-Éloi,saint-eloi-01,01,01349,01800,45.9333,5.15,400
126,La Chapelle-du-Châtelard,chapelle-du-chatelard,01,01085,01240,46.0667,5.03333,300
127,Saint-Jean-de-Niost,saint-jean-de-niost,01,01361,01800,45.8333,5.21667,1400
128,Savigneux,savigneux-01,01,01398,01480,46.0,4.85,1200
129,Nattages,nattages,01,01271,01300,45.7333,5.76667,500
130,Saint-Benoît,saint-benoît-01,01,01338,01300,45.7,5.58333,700
131,Douvres,douvres,01,01149,01500,45.9833,5.36667,900
132,Francheleins,francheleins,01,01165,01090,46.0667,4.8,1200
133,Dortan,dortan,01,01148,01590,46.3167,5.66667,2100
